,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
2895.0,0.569,0.1472,0.4405,0.929,0.062,2895.0,2880,2910,0.4405
2905.0,0.569,0.1472,0.5447,0.929,0.062,2905.0,2890,2920,0.5447
2915.0,0.569,0.1472,0.4708,0.929,0.062,2915.0,2900,2930,0.4708
2925.0,0.569,0.1472,0.4518,0.929,0.062,2925.0,2910,2940,0.4518
2935.0,0.569,0.1472,0.4581,0.929,0.062,2935.0,2920,2950,0.4581
2945.0,0.569,0.1472,0.5207,0.929,0.062,2945.0,2930,2960,0.5207
2955.0,0.569,0.1472,0.5803,0.929,0.062,2955.0,2940,2970,0.5803
2965.0,0.569,0.1472,0.5712,0.929,0.062,2965.0,2950,2980,0.5712
2975.0,0.569,0.1472,0.4512,0.929,0.062,2975.0,2960,2990,0.4512
2985.0,0.569,0.1472,0.4299,0.929,0.062,2985.0,2970,3000,0.4299
2995.0,0.569,0.1472,0.4385,0.929,0.062,2995.0,2980,3010,0.4385
3005.0,0.569,0.1472,0.5694,0.929,0.062,3005.0,2990,3020,0.5694
3015.0,0.569,0.1472,0.4741,0.929,0.062,3015.0,3000,3030,0.4741
3025.0,0.569,0.1472,0.482,0.929,0.062,3025.0,3010,3040,0.482
3035.0,0.569,0.1472,0.3209,0.929,0.062,3035.0,3020,3050,0.3209
3045.0,0.569,0.1472,0.3499,0.929,0.062,3045.0,3030,3060,0.3499
3055.0,0.569,0.1472,0.3188,0.929,0.062,3055.0,3040,3070,0.3188
3065.0,0.569,0.1472,0.4132,0.929,0.062,3065.0,3050,3080,0.4132
3075.0,0.569,0.1472,0.3992,0.929,0.062,3075.0,3060,3090,0.3992
3085.0,0.569,0.1472,0.4433,0.929,0.062,3085.0,3070,3100,0.4433
3095.0,0.569,0.1472,0.4151,0.929,0.062,3095.0,3080,3110,0.4151
3105.0,0.569,0.1472,0.4532,0.929,0.062,3105.0,3090,3120,0.4532
3115.0,0.569,0.1472,0.4362,0.929,0.062,3115.0,3100,3130,0.4362
3125.0,0.569,0.1472,0.4543,0.929,0.062,3125.0,3110,3140,0.4543
3135.0,0.569,0.1472,0.4326,0.929,0.062,3135.0,3120,3150,0.4326
3145.0,0.569,0.1472,0.4351,0.929,0.062,3145.0,3130,3160,0.4351
3155.0,0.569,0.1472,0.4529,0.929,0.062,3155.0,3140,3170,0.4529
3165.0,0.569,0.1472,0.4512,0.929,0.062,3165.0,3150,3180,0.4512
3175.0,0.569,0.1472,0.5513,0.929,0.062,3175.0,3160,3190,0.5513
3185.0,0.569,0.1472,0.5972,0.929,0.062,3185.0,3170,3200,0.5972
3195.0,0.569,0.1472,0.603,0.929,0.062,3195.0,3180,3210,0.603
3205.0,0.569,0.1472,0.495,0.929,0.062,3205.0,3190,3220,0.495
3215.0,0.569,0.1472,0.5657,0.929,0.062,3215.0,3200,3230,0.5657
3225.0,0.569,0.1472,0.6098,0.929,0.062,3225.0,3210,3240,0.6098
3235.0,0.569,0.1472,0.6261,0.929,0.062,3235.0,3220,3250,0.6261
3245.0,0.569,0.1472,0.4712,0.929,0.062,3245.0,3230,3260,0.4712
3255.0,0.569,0.1472,0.4436,0.929,0.062,3255.0,3240,3270,0.4436
3265.0,0.569,0.1472,0.4537,0.929,0.062,3265.0,3250,3280,0.4537
3275.0,0.569,0.1472,0.5154,0.929,0.062,3275.0,3260,3290,0.5154
3285.0,0.569,0.1472,0.5921,0.929,0.062,3285.0,3270,3300,0.5921
3295.0,0.569,0.1472,0.572,0.929,0.062,3295.0,3280,3310,0.572
3305.0,0.569,0.1472,0.5038,0.929,0.062,3305.0,3290,3320,0.5038
3315.0,0.569,0.1472,0.4479,0.929,0.062,3315.0,3300,3330,0.4479
3325.0,0.569,0.1472,0.5061,0.929,0.062,3325.0,3310,3340,0.5061
3335.0,0.569,0.1472,0.4902,0.929,0.062,3335.0,3320,3350,0.4902
3345.0,0.569,0.1472,0.5395,0.929,0.062,3345.0,3330,3360,0.5395
3355.0,0.569,0.1472,0.5758,0.929,0.062,3355.0,3340,3370,0.5758
3365.0,0.569,0.1472,0.6854,0.929,0.062,3365.0,3350,3380,0.6854
3375.0,0.569,0.1472,0.6253,0.929,0.062,3375.0,3360,3390,0.6253
3385.0,0.569,0.1472,0.5082,0.929,0.062,3385.0,3370,3400,0.5082
3395.0,0.569,0.1472,0.526,0.929,0.062,3395.0,3380,3410,0.526
3405.0,0.569,0.1472,0.6038,0.929,0.062,3405.0,3390,3420,0.6038
3415.0,0.569,0.1472,0.6537,0.929,0.062,3415.0,3400,3430,0.6537
3425.0,0.569,0.1472,0.5785,0.929,0.062,3425.0,3410,3440,0.5785
3435.0,0.569,0.1472,0.4993,0.929,0.062,3435.0,3420,3450,0.4993
3445.0,0.569,0.1472,0.4523,0.929,0.062,3445.0,3430,3460,0.4523
3455.0,0.569,0.1472,0.4886,0.929,0.062,3455.0,3440,3470,0.4886
3465.0,0.569,0.1472,0.5096,0.929,0.062,3465.0,3450,3480,0.5096
3475.0,0.569,0.1472,0.5327,0.929,0.062,3475.0,3460,3490,0.5327
3485.0,0.569,0.1472,0.4932,0.929,0.062,3485.0,3470,3500,0.4932
3495.0,0.569,0.1472,0.4675,0.929,0.062,3495.0,3480,3510,0.4675
3505.0,0.569,0.1472,0.4779,0.929,0.062,3505.0,3490,3520,0.4779
3515.0,0.569,0.1472,0.4699,0.929,0.062,3515.0,3500,3530,0.4699
3525.0,0.569,0.1472,0.5408,0.929,0.062,3525.0,3510,3540,0.5408
3535.0,0.569,0.1472,0.5706,0.929,0.062,3535.0,3520,3550,0.5706
3545.0,0.569,0.1472,0.6084,0.929,0.062,3545.0,3530,3560,0.6084
3555.0,0.569,0.1472,0.5942,0.929,0.062,3555.0,3540,3570,0.5942
3565.0,0.569,0.1472,0.6132,0.929,0.062,3565.0,3550,3580,0.6132
3575.0,0.569,0.1472,0.6416,0.929,0.062,3575.0,3560,3590,0.6416
3585.0,0.569,0.1472,0.6304,0.929,0.062,3585.0,3570,3600,0.6304
