,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
1490.0,0.569,0.1472,0.4396,0.929,0.062,1490.0,1460,1520,0.4396
1500.0,0.569,0.1472,0.4509,0.929,0.062,1500.0,1470,1530,0.4509
1510.0,0.569,0.1472,0.4537,0.929,0.062,1510.0,1480,1540,0.4537
1520.0,0.569,0.1472,0.4386,0.929,0.062,1520.0,1490,1550,0.4386
1530.0,0.569,0.1472,0.4798,0.929,0.062,1530.0,1500,1560,0.4798
1540.0,0.569,0.1472,0.5505,0.929,0.062,1540.0,1510,1570,0.5505
1550.0,0.569,0.1472,0.5171,0.929,0.062,1550.0,1520,1580,0.5171
1560.0,0.569,0.1472,0.5135,0.929,0.062,1560.0,1530,1590,0.5135
1570.0,0.569,0.1472,0.497,0.929,0.062,1570.0,1540,1600,0.497
1580.0,0.569,0.1472,0.505,0.929,0.062,1580.0,1550,1610,0.505
1590.0,0.569,0.1472,0.5104,0.929,0.062,1590.0,1560,1620,0.5104
1600.0,0.569,0.1472,0.4915,0.929,0.062,1600.0,1570,1630,0.4915
1610.0,0.569,0.1472,0.5513,0.929,0.062,1610.0,1580,1640,0.5513
1620.0,0.569,0.1472,0.5932,0.929,0.062,1620.0,1590,1650,0.5932
1630.0,0.569,0.1472,0.6398,0.929,0.062,1630.0,1600,1660,0.6398
1640.0,0.569,0.1472,0.6707,0.929,0.062,1640.0,1610,1670,0.6707
1650.0,0.569,0.1472,0.6244,0.929,0.062,1650.0,1620,1680,0.6244
1660.0,0.569,0.1472,0.6368,0.929,0.062,1660.0,1630,1690,0.6368
1670.0,0.569,0.1472,0.5481,0.929,0.062,1670.0,1640,1700,0.5481
1680.0,0.569,0.1472,0.5023,0.929,0.062,1680.0,1650,1710,0.5023
1690.0,0.569,0.1472,0.4817,0.929,0.062,1690.0,1660,1720,0.4817
1700.0,0.569,0.1472,0.4536,0.929,0.062,1700.0,1670,1730,0.4536
1710.0,0.569,0.1472,0.4704,0.929,0.062,1710.0,1680,1740,0.4704
1720.0,0.569,0.1472,0.4325,0.929,0.062,1720.0,1690,1750,0.4325
1730.0,0.569,0.1472,0.5002,0.929,0.062,1730.0,1700,1760,0.5002
1740.0,0.569,0.1472,0.5035,0.929,0.062,1740.0,1710,1770,0.5035
1750.0,0.569,0.1472,0.4963,0.929,0.062,1750.0,1720,1780,0.4963
1760.0,0.569,0.1472,0.5022,0.929,0.062,1760.0,1730,1790,0.5022
1770.0,0.569,0.1472,0.4385,0.929,0.062,1770.0,1740,1800,0.4385
1780.0,0.569,0.1472,0.4415,0.929,0.062,1780.0,1750,1810,0.4415
1790.0,0.569,0.1472,0.3971,0.929,0.062,1790.0,1760,1820,0.3971
1800.0,0.569,0.1472,0.4291,0.929,0.062,1800.0,1770,1830,0.4291
1810.0,0.569,0.1472,0.4676,0.929,0.062,1810.0,1780,1840,0.4676
1820.0,0.569,0.1472,0.4893,0.929,0.062,1820.0,1790,1850,0.4893
1830.0,0.569,0.1472,0.5187,0.929,0.062,1830.0,1800,1860,0.5187
1840.0,0.569,0.1472,0.5446,0.929,0.062,1840.0,1810,1870,0.5446
1850.0,0.569,0.1472,0.5642,0.929,0.062,1850.0,1820,1880,0.5642
1860.0,0.569,0.1472,0.5289,0.929,0.062,1860.0,1830,1890,0.5289
1870.0,0.569,0.1472,0.5009,0.929,0.062,1870.0,1840,1900,0.5009
1880.0,0.569,0.1472,0.4704,0.929,0.062,1880.0,1850,1910,0.4704
1890.0,0.569,0.1472,0.4971,0.929,0.062,1890.0,1860,1920,0.4971
1900.0,0.569,0.1472,0.4907,0.929,0.062,1900.0,1870,1930,0.4907
1910.0,0.569,0.1472,0.5607,0.929,0.062,1910.0,1880,1940,0.5607
1920.0,0.569,0.1472,0.5882,0.929,0.062,1920.0,1890,1950,0.5882
1930.0,0.569,0.1472,0.5941,0.929,0.062,1930.0,1900,1960,0.5941
1940.0,0.569,0.1472,0.5456,0.929,0.062,1940.0,1910,1970,0.5456
1950.0,0.569,0.1472,0.5452,0.929,0.062,1950.0,1920,1980,0.5452
1960.0,0.569,0.1472,0.5159,0.929,0.062,1960.0,1930,1990,0.5159
1970.0,0.569,0.1472,0.455,0.929,0.062,1970.0,1940,2000,0.455
1980.0,0.569,0.1472,0.416,0.929,0.062,1980.0,1950,2010,0.416
1990.0,0.569,0.1472,0.371,0.929,0.062,1990.0,1960,2020,0.371
2000.0,0.569,0.1472,0.3937,0.929,0.062,2000.0,1970,2030,0.3937
2010.0,0.569,0.1472,0.4296,0.929,0.062,2010.0,1980,2040,0.4296
2020.0,0.569,0.1472,0.4181,0.929,0.062,2020.0,1990,2050,0.4181
2030.0,0.569,0.1472,0.4394,0.929,0.062,2030.0,2000,2060,0.4394
2040.0,0.569,0.1472,0.4689,0.929,0.062,2040.0,2010,2070,0.4689
2050.0,0.569,0.1472,0.4856,0.929,0.062,2050.0,2020,2080,0.4856
2060.0,0.569,0.1472,0.5047,0.929,0.062,2060.0,2030,2090,0.5047
2070.0,0.569,0.1472,0.4534,0.929,0.062,2070.0,2040,2100,0.4534
2080.0,0.569,0.1472,0.5074,0.929,0.062,2080.0,2050,2110,0.5074
2090.0,0.569,0.1472,0.5539,0.929,0.062,2090.0,2060,2120,0.5539
2100.0,0.569,0.1472,0.5787,0.929,0.062,2100.0,2070,2130,0.5787
2110.0,0.569,0.1472,0.6201,0.929,0.062,2110.0,2080,2140,0.6201
2120.0,0.569,0.1472,0.605,0.929,0.062,2120.0,2090,2150,0.605
2130.0,0.569,0.1472,0.6063,0.929,0.062,2130.0,2100,2160,0.6063
2140.0,0.569,0.1472,0.5793,0.929,0.062,2140.0,2110,2170,0.5793
2150.0,0.569,0.1472,0.5475,0.929,0.062,2150.0,2120,2180,0.5475
