,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-160.0,0.569,0.1472,0.1368,0.929,0.062,-160.0,-190,-130,0.1368
-150.0,0.569,0.1472,0.1066,0.929,0.062,-150.0,-180,-120,0.1066
-140.0,0.569,0.1472,0.1056,0.929,0.062,-140.0,-170,-110,0.1056
-130.0,0.569,0.1472,0.0875,0.929,0.062,-130.0,-160,-100,0.0875
-120.0,0.569,0.1472,0.0987,0.929,0.062,-120.0,-150,-90,0.0987
-110.0,0.569,0.1472,0.1015,0.929,0.062,-110.0,-140,-80,0.1015
-100.0,0.569,0.1472,0.0886,0.929,0.062,-100.0,-130,-70,0.0886
-90.0,0.569,0.1472,0.0944,0.929,0.062,-90.0,-120,-60,0.0944
-80.0,0.569,0.1472,0.0705,0.929,0.062,-80.0,-110,-50,0.0705
-70.0,0.569,0.1472,0.0877,0.929,0.062,-70.0,-100,-40,0.0877
-60.0,0.569,0.1472,0.0971,0.929,0.062,-60.0,-90,-30,0.0971
-50.0,0.569,0.1472,0.097,0.929,0.062,-50.0,-80,-20,0.097
-40.0,0.569,0.1472,0.1138,0.929,0.062,-40.0,-70,-10,0.1138
-30.0,0.569,0.1472,0.1152,0.929,0.062,-30.0,-60,0,0.1152
-20.0,0.569,0.1472,0.1253,0.929,0.062,-20.0,-50,10,0.1253
-10.0,0.569,0.1472,0.1228,0.929,0.062,-10.0,-40,20,0.1228
0.0,0.569,0.1472,0.1014,0.929,0.062,0.0,-30,30,0.1014
10.0,0.569,0.1472,0.1457,0.929,0.062,10.0,-20,40,0.1457
20.0,0.569,0.1472,0.1508,0.929,0.062,20.0,-10,50,0.1508
30.0,0.569,0.1472,0.1628,0.929,0.062,30.0,0,60,0.1628
40.0,0.569,0.1472,0.1408,0.929,0.062,40.0,10,70,0.1408
50.0,0.569,0.1472,0.1666,0.929,0.062,50.0,20,80,0.1666
60.0,0.569,0.1472,0.1815,0.929,0.062,60.0,30,90,0.1815
70.0,0.569,0.1472,0.1397,0.929,0.062,70.0,40,100,0.1397
80.0,0.569,0.1472,0.1207,0.929,0.062,80.0,50,110,0.1207
90.0,0.569,0.1472,0.173,0.929,0.062,90.0,60,120,0.173
100.0,0.569,0.1472,0.2893,0.929,0.062,100.0,70,130,0.2893
110.0,0.569,0.1472,0.2796,0.929,0.062,110.0,80,140,0.2796
120.0,0.569,0.1472,0.2966,0.929,0.062,120.0,90,150,0.2966
130.0,0.569,0.1472,0.3307,0.929,0.062,130.0,100,160,0.3307
140.0,0.569,0.1472,0.3556,0.929,0.062,140.0,110,170,0.3556
150.0,0.569,0.1472,0.3635,0.929,0.062,150.0,120,180,0.3635
160.0,0.569,0.1472,0.3652,0.929,0.062,160.0,130,190,0.3652
170.0,0.569,0.1472,0.3856,0.929,0.062,170.0,140,200,0.3856
180.0,0.569,0.1472,0.3806,0.929,0.062,180.0,150,210,0.3806
190.0,0.569,0.1472,0.3398,0.929,0.062,190.0,160,220,0.3398
200.0,0.569,0.1472,0.3528,0.929,0.062,200.0,170,230,0.3528
210.0,0.569,0.1472,0.3571,0.929,0.062,210.0,180,240,0.3571
220.0,0.569,0.1472,0.342,0.929,0.062,220.0,190,250,0.342
230.0,0.569,0.1472,0.417,0.929,0.062,230.0,200,260,0.417
240.0,0.569,0.1472,0.4304,0.929,0.062,240.0,210,270,0.4304
250.0,0.569,0.1472,0.4431,0.929,0.062,250.0,220,280,0.4431
260.0,0.569,0.1472,0.5261,0.929,0.062,260.0,230,290,0.5261
270.0,0.569,0.1472,0.4879,0.929,0.062,270.0,240,300,0.4879
280.0,0.569,0.1472,0.4902,0.929,0.062,280.0,250,310,0.4902
290.0,0.569,0.1472,0.4196,0.929,0.062,290.0,260,320,0.4196
300.0,0.569,0.1472,0.4306,0.929,0.062,300.0,270,330,0.4306
310.0,0.569,0.1472,0.4754,0.929,0.062,310.0,280,340,0.4754
320.0,0.569,0.1472,0.4023,0.929,0.062,320.0,290,350,0.4023
330.0,0.569,0.1472,0.4269,0.929,0.062,330.0,300,360,0.4269
340.0,0.569,0.1472,0.4346,0.929,0.062,340.0,310,370,0.4346
350.0,0.569,0.1472,0.4721,0.929,0.062,350.0,320,380,0.4721
360.0,0.569,0.1472,0.4837,0.929,0.062,360.0,330,390,0.4837
370.0,0.569,0.1472,0.4272,0.929,0.062,370.0,340,400,0.4272
380.0,0.569,0.1472,0.4213,0.929,0.062,380.0,350,410,0.4213
390.0,0.569,0.1472,0.4519,0.929,0.062,390.0,360,420,0.4519
400.0,0.569,0.1472,0.4561,0.929,0.062,400.0,370,430,0.4561
410.0,0.569,0.1472,0.4165,0.929,0.062,410.0,380,440,0.4165
