,tmean,tstart,tstop,size_mean,size_max,num_bursts,burst_width,burst_width_high,phrate_mean
172,910.0,820.0,1000.0,139.73,769.3,292,3.79,3.59,215548.3
173,920.0,830.0,1010.0,134.87,769.3,287,3.72,3.52,212628.9
174,930.0,840.0,1020.0,133.33,769.3,287,3.71,3.54,214007.9
175,940.0,850.0,1030.0,132.76,769.3,284,3.74,3.54,210260.9
176,950.0,860.0,1040.0,131.63,769.3,283,3.72,3.55,210500.0
177,960.0,870.0,1050.0,128.69,744.3,286,3.64,3.43,208085.0
178,970.0,880.0,1060.0,130.21,744.3,288,3.66,3.46,208417.0
179,980.0,890.0,1070.0,132.48,744.3,291,3.69,3.43,208694.1
180,990.0,900.0,1080.0,134.37,744.3,291,3.67,3.44,209561.4
181,1000.0,910.0,1090.0,134.65,744.3,296,3.68,3.45,209703.4
182,1010.0,920.0,1100.0,134.21,744.3,310,3.64,3.4,209123.5
183,1020.0,930.0,1110.0,132.97,744.3,314,3.62,3.4,208786.2
184,1030.0,940.0,1120.0,133.61,744.3,325,3.63,3.39,209781.5
185,1040.0,950.0,1130.0,133.54,744.3,323,3.63,3.41,212183.7
186,1050.0,960.0,1140.0,134.26,744.3,322,3.66,3.46,208993.9
187,1060.0,970.0,1150.0,133.94,744.3,323,3.67,3.43,207987.5
188,1070.0,980.0,1160.0,131.93,744.3,320,3.64,3.36,207645.5
189,1080.0,990.0,1170.0,133.33,490.1,321,3.71,3.39,207528.5
190,1090.0,1000.0,1180.0,133.63,490.1,314,3.72,3.37,208640.7
191,1100.0,1010.0,1190.0,136.2,490.1,316,3.75,3.39,211940.0
192,1110.0,1020.0,1200.0,135.19,490.1,311,3.74,3.36,207928.1
193,1120.0,1030.0,1210.0,136.29,490.1,310,3.76,3.34,211314.4
194,1130.0,1040.0,1220.0,137.69,678.8,320,3.76,3.31,214609.8
195,1140.0,1050.0,1230.0,136.17,678.8,323,3.77,3.33,215505.2
196,1150.0,1060.0,1240.0,134.64,678.8,329,3.75,3.29,213263.2
197,1160.0,1070.0,1250.0,133.97,678.8,329,3.72,3.3,217151.9
198,1170.0,1080.0,1260.0,133.78,678.8,340,3.73,3.29,217597.3
199,1180.0,1090.0,1270.0,132.71,678.8,342,3.71,3.3,217488.1
200,1190.0,1100.0,1280.0,130.99,678.8,336,3.74,3.34,213852.8
201,1200.0,1110.0,1290.0,130.69,678.8,326,3.74,3.34,211359.2
202,1210.0,1120.0,1300.0,130.25,678.8,321,3.7,3.31,217419.4
203,1220.0,1130.0,1310.0,131.48,678.8,338,3.7,3.31,217842.9
